Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0130554-001,uni-ucl-jud-0130554-001,"A case of conscience, whether it be lawful to admit Jews into a Christian common-wealth? Resolved by Mr John Dury: written to Samuel Hartlib, esquire.",John Dury,"Dury, John, 1596-1680.","Dury, John",16560101,16561231,1656,"London: Richard Wodenothe, 1656.",Richard Wodenothe,London,England,"[2], 9, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1656 D8,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130670-001,uni-ucl-jud-0130670-001,"Psalmi Davidis ex Hebraeo in Latinum conversi, : scholiisque, per necessariis illustrati ab Immsnuele Tremellio et Francisco Junio.",Anonymous,Anonymous,Anonymous,15800101,15801231,1580,"Londini: Henricus Denhamus, 1580.",Henricus Denhamus,London,England,"[8], 479 p. ; 12 cm.",STRONG ROOM MOCATTA 1580 B4,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130558-001,uni-ucl-jud-0130558-001,"Vindiciæ Judæorum, or A letter in answer to certain questions propounded by a noble and learned gentleman, touching the reproaches cast on the nation of the Jevves; : wherein all objections are candidly, and yet fully cleared. By Rabbi Menasseh Ben Israel a divine and a physician.",Manasseh ben Israel,"Manasseh ben Israel, 1604-1657.",Menasseh Ben Israel,16560101,16561231,in the year 1656.,"R.D., 1656.",R.D.,,,"[2], 41, [1] p. ; 20 cm.",STRONG ROOM MOCATTA 1656 M1 (2),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130570-001,uni-ucl-jud-0130570-001,"An information, concerning the present state of the Jewish nation in Europe and Judea. : Wherein the footsteps of Providence preparing a way for their conversion to Christ, and for their deliverance from captivity, are discovered.",Henry Jessey,"Jessey, Henry, 1603-1663.","Jessey, Henry",16580101,16581231,1658,"London: Thomas Brewster, 1658.",Thomas Brewster,London,England,"[4], 19, [5] p. ; 19 cm.",STRONG ROOM MOCATTA 1658 J2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0015248-001,uni-ucl-jud-0015248-001,"Flavii Iosephi Antiqvitatvm ivdaicarum libri XX : adiecta in fine appendicis loco vita Iosephi per ipsum conscripta, a Sigismundo Gelenio conuersi. De bello Ivdaico libri VII, ex collatione Graecorum codicum per Sig. Gelenium castigati. Contra Apionem libri II, pro corruptissimis antea, iam ex Graeco itidem non solum emendati, sed etiam suppleti, opera eiusdem Gelenii. De imperio rationis, siue de Machabaeis liber unus, a Des. Erasmo Roterodamo recognitus.",Flavius Josephus,"Josephus, Flavius.",Josephus Flavius,15540101,15541231,Mense Martio Anno MDLIIII [1554].,Basileae: M D LIIII. [1554],,Basel,Switzerland,"[6], 886, [1], [32] p. ; 35 cm.",STRONG ROOM MOCATTA FOLIO 1554 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130431-001,uni-ucl-jud-0130431-001,"A compendious and most maruellous historie of the latter times of the Jewes common weale : beginning where the Bible or scriptures leave, continuing to the utter subuersion and last destruction of that countrey and people /",Joseph Ben Gorion,"Gorion, Joseph Ben","Gorion, Joseph Ben",15960101,15961231,An. Do. 1596.,"London: Thomas Adams, An. Do. 1596.",Thomas Adams,London,England,"[6], 449 p. ; 15 cm.",STRONG ROOM MOCATTA 1596 J6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0032785-001,uni-ucl-jud-0032785-001,Tractatus de Iudaeo(rum) (et) (Christ)iano(rum) (com)munione (et) co(n)versat(i)one ac co(n)stitut(i)onu(m) sup(er) hac re innovat(i)one.,Anonymous,Anonymous,Anonymous,14740101,14740101,1474,,,Basel,Switzerland,[16] f ; 27 cm.,INCUNABULA QUARTO 3 g,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130501-001,uni-ucl-jud-0130501-001,"Menasseh Ben-Israel De resurrectione mortuorum libri III : Quibus animae immortalitas & corporis resurrectio contra Zaducaeos comprobatur : caussae item miraculosae resurrectionis exponuntur : deque judicio extremo, & mundi instauratione agitur, ex sacris literis, & veteribus Rabbinis.",Manasseh ben Israel,"Manasseh ben Israel, 1604-1657.",Manasseh ben Israel,16360101,16361231,MDCXXXVI [1636].,Amsterlodami: MDCXXXVI. [1636],,Amsterdam,Netherlands,"[24], 133, [11], 137-241, [11], 245-346, [6] p. ; 14 cm.",STRONG ROOM MOCATTA 1636 M1 (2),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130507-001,uni-ucl-jud-0130507-001,"Israels petition in time of trouble. : A sermon preached in St. Margarets Church at Westminster, before the Honourable House of Commons now assembled in Parliament. At the late publique and solemn fast, July 27. 1642. By Edward Reynoldes, rector of the church of Braunston in Northamptonshire. Published by order of the said House.",Edward Reynolds,"Reynolds, Edward, 1599-1676.","Reynolds, Edward",16420101,16421231,1642,"London: Robert Bostock, 1642.",Robert Bostock,London,England,"[8], 44 p. ; 19 cm.",STRONG ROOM MOCATTA 1642 R2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130495-001,uni-ucl-jud-0130495-001,"Enqviries tovching the diversity of langvages, and religions, : through the chiefe parts of the world. VVritten by Edvv. Brerevvood lately professour of astronomy in Gresham Colledge in London.",Edward Brerewood,"Brerewood, Edward, 1565?-1613.","Berewood, Edward",16350101,16351231,1635,"London: Joyce Norton, Richard Whitak, 1635.","Joyce Norton ,Richard Whitak",London,England,"[24], 203, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1635 B7,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130492-001,uni-ucl-jud-0130492-001,"The history of the Inquisition: composed by the Reverend Father Paul Servita, who was also the compiler of the Councell of Trent. A pious, learned, and curious worke, necessary for councellors, casuists, and politicians. Translated out of the Italian copy by Robert Gentilis.",Paolo Sarpi,"Sarpi, Paolo, 1552-1623.","Sarpi, Paolo",16390101,16391231,1639,"London: Humphrey Mosley, 1639.",Humphrey Mosley,London,England,"[6], 90 p. ; 22 cm.",STRONG ROOM MOCATTA 1639 S1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0015252-001,uni-ucl-jud-0015252-001,Flauij Iosephi des Hochberühmten Iüdischen Geschichtschreibers Historien vnd Bücher : von alten Iüdischen Geschichten zwentzig samt eynem von seinem Leben: Vom Iüdischen Krieg vnd der Statt Ierusalem vnd des gantzen Lands zerstörung siben: Von der Iuden altem Herkommen wider Apionem Grammaticum zwey: Von Meysterschafft der Vernunfft vnd der Machabeer Marter eyns. Alles auss dem Griechischen Exemplar samt aller Bücher vnd Capitel Summarischer Inhalt mit höchstem fleiss von newem verteutscht vnd zugerichtet darzu mit Biblischen Concordantzen Iarrechnung ordenlichem Register vnd schönen Figuren dessgleichen vorhin im Truck nie aussgangen gezieret.,Flavius Josephus,"Josephus, Flavius.","Josephus, Flavius",16010101,16011231,MDCI [1601].,Straßburg: MDCI. [1601],,Strasburg,Germany,"946, [40] p. : ill. ; 35 cm.",STRONG ROOM MOCATTA FOLIO 1601 J6/1-2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0015252-002,uni-ucl-jud-0015252-002,"Egesippi, des hochberühmten fürtrefflichen christlichen Geschichtschreibers, fünff Bücher, vom jüdischen Krieg vnd endlicher Zerstörung der herzlichen vnd gewaltigen Statt Jerusalem ... Auss dem Latein ...",Pseudo-Hegesippus,Pseudo-Hegesippus.,Pseudo-Hegesippus,15750101,15751231,MDLXXV? [1575].,Bässl.,Bässl,Basel,Switzerland,214 p. : ill. ; 35 cm.,STRONG ROOM MOCATTA FOLIO 1601 J6/2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0130498-001,uni-ucl-jud-0130498-001,"An exposition of the ceremoniall lavves of Moses, as they are annexed to the Tenne Commandements wherein are cleared divers customes of the Iewes, and also the customes of the Gentiles, as they have relation to the Iewish, out of the originall tongues, the Hebrew and Greeke : together with directions how to make the right use of them in preaching : all serving to let us see how they leade us as types to Iesus Christ, whom we see more clearely when the vayle is taken away. By Iohn Weemse, of Lathocker in Scotland, Preacher of Christs Gospell.",John Weemes,"Weemes, John, 1579?-1636.","Weemes, John",16360101,16361231,1636,"London: John Bellamie, 1636.",John Bellamie,London,England,"[30], 261, [1] p. : ill. ; 22 cm.",STRONG ROOM MOCATTA 1636 W2 (2)/1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130498-002,uni-ucl-jud-0130498-002,"An exposition of the ivdiciall lavves of Moses, plainely discovering divers of their ancient rites and customes. As in their governours, government, Synedrion, punishments, civill accompts, contracts, marriages, warres, and burials. Also their oeconomicks, (Vizt.) their dwellings, feasting, clothing and husbandrie. : Together with two treatises, the one shewing the different estate of the godly and wicked in this life, and in the life to come. The other declaring how the wicked may bee inlightened by the preaching of the Gospell, and yet become worse after they be illuminated. All which are cleered out of the originall languages and doe serve as a speciall helpe for the true understanding of divers difficult texts of Scriptures. By Iohn Weemes, of Lathocker in Scotland, Preacher of Gods word.",John Weemes,"Weemes, John, 1579?-1636.","Weemes, John",16360101,16361231,1636,"London: John Bellamie, 1636.",John Bellamie,London,England,"[28], 223, [3] p. : ill. ; 22 cm.",STRONG ROOM MOCATTA 1636 W2 (2)/2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130498-003,uni-ucl-jud-0130498-003,"Exercitations divine : containing diverse questions and solutions for the right understanding of the Scriptures: proving the necessitie, majestie, integritie, prespicuitie, and sense thereof. As also shewing the singular prerogatives wherewith the lord indued [sic] those whom he appointed to bee pen-men of them. Together with the excellencie and use of divinitie above allhumane sciences. All which are cleared out of the Hebrew, and greeke, the two originall languages in which the scriptures were first written, by comparing them with the Samaritane, Chaldie, and Syriack copies, and with the Greeke interpretors, and vulgar Latine translation.",John Weemes,"Weemes, John, 1579?-1636.","Weemes, John",16340101,16341231,1634,"London: John Bellamie, 1634.",John Bellamie,London,England,"[32], 188, [4] p. : tables ; 22 cm.",STRONG ROOM MOCATTA 1636 W2 (2)/3,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130498-004,uni-ucl-jud-0130498-004,"A treatise of the foure degenerate sonnes, : viz. the atheist the magician the idolater· and the Iew. VVherein are handled many profitable questions concerning atheisme, witchcraft, idolatry, and Iudaisme: and sundry places of Scripture, cleared out of the originall tongues. Being the fourth volume, of the Workes of Mr. Ioh. Weemse of Lathocker in Scotland, and Prebend of Dunelm.",John Weemes,"Weemes, John, 1579?-1636.","Weemes, John",16360101,16361231,1636,"London: John Bellamie, 1636.",John Bellamie,London,England,"[26], 382, [4] p. ; 22 cm",STRONG ROOM MOCATTA 1636 W2 (2)/4,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130617-001,uni-ucl-jud-0130617-001,"The glorious kingdom of Christ, described and clearly vindicated, : against the bold asserters of a future calling and reign of the Jews, and 1000 years before the conflagration. And the asserters of the 1000 years kingdom after the conflagration. Opening the promise of th new heaven and earth, and the everlastingness of Christ\U+2019\s kingdom, against their debasing it, who confine it to 1000 years, which with the Lord is but as one day. Answering Mr. Tho. Beverley, who imposed this task, by his oft and earnest challenges of all the doctors and pastors, and his censure o dissenters as semi-Sadduces of the apostasie, in his twelve principles and catechisms, &c. By Richard Baxter, whose comfort is only the hope of that kingdom.",Richard Baxter,"Baxter, Richard, 1615-1691.","Baxter, Richard",16910101,16911231,1691,"London: Thomas Parkhurst, 1691.",Thomas Parkhurst,London,England,"[6], 73, [1] p. ; 21 cm.",STRONG ROOM MOCATTA 1691 B1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130622-001,uni-ucl-jud-0130622-001,"The wonderful and most deplorable history of the latter times of the Jews : with the destruction of the city of Jerusalem. Which history begins where the Holy Scriptures do end. By Josephus Ben Gorion. Whereunto is added, a brief of the ten captivities; with the pourtraict of the Roman rams, and engines of battery, &c. As also of Jerusalem; with the fearful and presaging apparitions that were seen in the air before her ruins. Moreover, there is a parallel of the late times and crimes in London, with those in Jerusalem.",Josephus Ben Gorion,Josephus Ben Gorion,"Gorion, Josephus Ben",16990101,16991231,1699,,,,,"[18], 341, [9] p., [3] leaves of plates (1 folded) : ill., port. ; 17 cm.",STRONG ROOM MOCATTA 1699 J6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0010730-001,uni-ucl-jud-0010730-001,"Pharetra fidei Catholice, siue, Ydonea disputatio inter Christianos et Iudeos : in qua perpulchra tanguntur media et rationes quibus quiuis Christifidelis tam ex prophetis suis proprijs q[uam] ex nostris eorum erroribus faciliter poterit obuiare.","Subprior, Theobaldus.","Theobaldus, subprior.","Subprior, Theobaldus.",14940101,14941231,1494-1500,,,,,[24] p. (the last leaf blank) ; 21 cm.,INCUNABULA 1 k,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0010814-001,uni-ucl-jud-0010814-001,Martyrium Sebastiani novelli trucidati a perfidis Iudeis.,"Georgius, Summaripa.","Summaripa, Georgius.","Georgius, Summaripa.",15800101,15801231,1480,"Tarvisii: Giovanni Mocenigo, MDLXXX. [1580]",Bernardino Celeri,Treviso,Italy,[6] f. ; 21 cm.,INCUNABULA 6 s,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130616-001,uni-ucl-jud-0130616-001,"Catechismus judæorum : in disputatione & dialogo magistri ac discipuli scriptus à Rabbi Abrahamo Jagel, Monte Silicis oriundo ; et Latinus ex Hebræu factus a Ludovico de Compiegne de Veil, secundum exemplar Londinense.",Abrahamo Jagel,"Jagel, Abraham ben Hananiah dei Galicchi, active 16th century-17th century.","Abraham ben Hananiah dei Galicchi, Jagel, active 16th century-17th century.",16900101,16901231,MDCXC [1690].,"Franequerae: Jeremias Gyselaar, CIDICXC. [1690]",Jeremias Gyselaar,Franeker,Netherlands,No format data,STRONG ROOM MOCATTA 1690 J1,University College London,"Special Collections, UCL Library",Multiple,
uni-ucl-jud-0015060-001,uni-ucl-jud-0015060-001,"Giosefo : Nelqua. si tratta delle guerra de Giudei la ossidion, è destruttion de Gierusalem dal vero esemplare latino nella volgar lingua tradotto con gran diligenza, è sommo studio nuouamente stampato & corretto.",Flavius Josephus,"Josephus, Flavius.","Josephus, Flavius",15410101,15411231,"Nel anno del Signore, MDXXXI [1541].",Veneggia: M.D.XXXXI. [1541],,Venice,Italy,324 leaves ; 16 cm.,STRONG ROOM MOCATTA 1541 J6,University College London,"Special Collections, UCL Library",Italian,
uni-ucl-jud-0032774-001,uni-ucl-jud-0032774-001,Tractatus de Iudaeo(rum) (et) (Christ)iano(rum) (com)munione (et) co(n)versat(i)one ac co(n)stitut(i)onu(m) sup(er) hac re innovat(i)one.,Anonymous,Anonymous,Anonymous,14740101,14741231,1470-72,Strasburg: 1474.,,Strasburg,Germany,[16] f. ; 27 cm.,INCUNABULA QUARTO 1 c,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130410-001,uni-ucl-jud-0130410-001,"The scepter of Iudah: or, what maner of government it was, that unto the common-wealth or Church of Israel was by the law of God appointed. By Edm. Bunny.",Edm. Bunny.,"Bunny, Edmund, 1540-1619."," Edmund, Bunny, 1540-1619.",15840101,15841231,1584,"London: N.Newton, A.Hatfeild, 1584.",John Wright,London,England,"[10], 160, [62] p. ; 16 cm.",STRONG ROOM MOCATTA 1584 B8,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0015247-001,uni-ucl-jud-0015247-001,"Flauij Iosephi antiquitatum Iudaicarum libri XX : adiecta in fine appendicis loco uita Iosephi per ipsum conscripta, à Sigismundo Gelenio nouiter iam conuersi. De bello Iudaico libri VII, ex collatione Graecorum codicum per Sig. Gelenium castigati. Contra Apionem libri II, pro corruptissimi antea iam ex Graeco itidem non solum emendati, sed etiam suppleti, opera eiusdem Gelenij. De imperio rationis, siue De Machabaeis liber unus, a Des. Erasmo Roterodamo recognitus. Cum indice accuratissimo.",Flavii Josephi,"Josephus, Flavius.","Flavius, Josephus.",15480101,15481231,MDXLVIII [1548].,"Basileae: Froben, MDXLVIII. [1548]",Froben,Basel,Switzerland,"[8], 886, [34] p. ; 34 cm.",STRONG ROOM MOCATTA FOLIO 1548 J6,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015090-001,uni-ucl-jud-0015090-001,"Hegesippi scriptoris grauissimi, De bello Iudaico, et vrbis Hierosolymitanae excidio, libri quinq[ue] /","Josephus, Flavius","Josephus, Flavius.","Flavius, Josephus.",15590101,15591231,Anno MDLIX [1559].,"Coloniae:Maternum Cholinum, MDLIX. [1559]",Maternum Cholinum,Cologne,Germany,No format data,STRONG ROOM MOCATTA 1559 J6 (1),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0015262-001,uni-ucl-jud-0015262-001,Flauij Josephi des Hochberühmten Jüdischen Geschichtschreibers Historien vnd Bücher : Von alten Jüdischen Geschichten zwentzig sambt eynem von seinem Leben: Vom Jüdischen Krieg vnd der Statt Ierusalem vnd des gantzen Lands zerstörung siben: Von der Juden altem Herkommen wider Apionem Grammaticum zwey: Von Meysterschafft der Vernunfft vnd der Machabeer Marter eyns. Alles auss dem Griechischen Exemplar samt aller Bücher vnd Capitel Summarischer Inhalt mit höchstem fleiss von newem verteutscht vnd zugerichtet darzu mit Biblischen Concordantzen Iarrechnung ordenlichem Register vnd schönen Figuren dessgleichen vorhin im Truck nie aussgangen gezieret.,Flavis Josephi,"Josephus, Flavius.","Flavius, Josephus.",15900101,15901231,MDXC [1590]].,"Straßburg: Theodosius Rihel, MDXC. [1590]",Theodosius Rihel,Strasburg,Germany,"[10], 524, [40] p. : ill. ; 37 cm.",STRONG ROOM MOCATTA FOLIO 1590 J6/1,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0015262-002,uni-ucl-jud-0015262-002,"Egesippi, des hochberühmten fürtrefflichen christlichen Geschichtschreibers : fünff Bücher : vom Iüdischen Krieg vnd endlicher zerstörung der Herrlichen vnd gewaltigen Statt Jerusalem. Ietz newlich auss dem Latein auffs trewlichest verteutschet mit kurtzen Summarien aller vnnd jeder Bücher vnd Capitel Auch ordenlicher Jarrechnung gezieret vnd mit Concordantzen beydes auff die Heylige Bibel vnd vnsern newen Teutschen Josephum gerichtet. Samt eynem nutzlichen Register vnd schönen Figuren.",Flavis Josephi,"Josephus, Flavius.","Flavius, Josephus.",15900101,15901231,MDXC [1590]].,"Straßburg: Theodosius Rihel, MDXC. [1590]",Theodosius Rihel,Strasburg,Germany,"[5], 118, [9] leaves : ill. ; 37 cm.",STRONG ROOM MOCATTA FOLIO 1590 J6/2,University College London,"Special Collections, UCL Library",German,
uni-ucl-jud-0130500-001,uni-ucl-jud-0130500-001,"Menasseh Ben-Israel De resurrectione mortuorum libri III : Quibus animae immortalitas & corporis resurrectio contra Zaducaeos comprobatur : caussae item miraculosae resurrectionis exponuntur : deque judicio extremo, & mundi instauratione agitur, ex sacris literis, & veteribus Rabbinis.",Menasseh Ben-Israel,"Manasseh ben Israel, 1604-1657.","Manasseh ben Israel, 1604-1657.",16360101,16361231,MDCXXXVI [1636].,"Amstelodami: Typis & sumptibus Auctoris, MDCXXXVI. [1636]",,Amsterdam,Netherlands,"[24], 133, [11], 137-241, [11], 245-346, [6] p. ; 15 cm.",STRONG ROOM MOCATTA 1636 M1 (1)/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130500-002,uni-ucl-jud-0130500-002,"Manasseh Ben-Israel De creatione problemata XXX : cum summariis singulorum problematum, & indice locorum scripturae, quae hoc opere explicantur.",Menasseh Ben-Israel,"Manasseh ben Israel, 1604-1657.","Manasseh ben Israel, 1604-1657.",16350101,16351231,MDCXXXV [1635].,"Amstelodam: Typis & sumptibus Auctoris, CIC ICC XXXV. [1635]",,Amsterdam,Netherlands,"[16], 156, [2] p. ; 15 cm",STRONG ROOM MOCATTA 1636 M1 (1)/2,University College London,"Special Collections, UCL Library",Latin,
