Item name,<pqid>,<title>,<author_name>,<author_corrected>,<author_uninverted>,<startdate>,<enddate>,<displaydate>,<imprint>,<publisher_printer>,<place_of_publication>,<country_of_publication>,<pagination>,<shelfmark>,<source_library>,<source_collection>,<language>,<illustrations>
uni-ucl-jud-0130506-001,uni-ucl-jud-0130506-001,"A briefe explanation of the XX. chapter of the Revelation of Saint John. Wherein is contained the binding of the dragon for a thousand yeares. : The thrones and who were to sit upon them, while the dragon lay bound, and the judgement that was given unto them. The living and raigning, for a thousand yeares of the soules of the saints, (whose bodies they that sate on the thrones should kill, because they would not worship the beast, nor his image, nor receive his marke) which is called the first resurrection. The losing of the dragon after the thousand yeares of his binding. The coming downe of Gog and Magog, and their destruction. The great day of the Lords coming in glory. The generall resurrection of the bodies of all, good and bad, and the generall judgement. Written for the edification, and confirmation of the faithfull, in their comfortable expectation of the day of the Lord, now neare approaching.",Anonymous,Anonymous,Anonymous,16410101,16411231,1641,"London: John Wright the younger, 1641.",R. Oulon,London,England,"[2], 48, 47-69 p. ; 19 cm.",STRONG ROOM MOCATTA 1641 D2 (2),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130513-001,uni-ucl-jud-0130513-001,"The happinesse of Israel. : As it was set forth in a sermon preached to both the honourable Houses of Parliament (the Lord Major and aldermen of the city of London being present) at Christ-Church, London, upon a solemne day of thanksgiving, March 12th 1644. By Richard Vine minister of the gospel at Weddington in the county of Warwicke. Published by order of both Houses.",Richard Vines Minifter of the Golpel,"Vines, Richard, 1600?-1656.","Richard, Vines, 1600?-1656",16450101,16451231,1645,"London: G.M.,1645.",Abel Roper,London,England,"[6], 26 p. ; 19 cm.",STRONG ROOM MOCATTA 1645 V4,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130514-001,uni-ucl-jud-0130514-001,"Israel's redemption redeemed. Or, the Jewes generall and miraculous conversion to the faith of the Gospel: and returne into their owne land: and our Saviours personall reigne on Earth, cleerly proved out of many plaine prophecies of the Old and New Testaments. : And the chiefe arguments that can be alledged against these truths, fully answered: of purpose to satisfie all gainsayers; and in particular Mr. Alexander Petrie, Minister of the Scottish Church in Roterdam. By Robert Maton, the author of Israel's redemption. Divided into two parts, whereof the first concernes the Jewes restauration into a visible kingdome in Judea: and the second, our Saviours visible reigne over them, and all other nations at his nextappearing [sic]. Whereunto are annexed the authors reasons, for the literall and proper sense of the plagues contain'd under the trumpets and vialls.",ROBERT MATON,"Maton, Robert, 1607-1653?.","Robert, Maton, 1607-1653?",16460101,16461231,1646,"London: Mathhew Simmons, 1646",George whittington,London,England,"[50], 18, 193-200, 19-151, [3], 177-200, 199-329, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1646 M1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130518-001,uni-ucl-jud-0130518-001,"A charge against the Jews, and the Christian world, for not coming to Christ, who would have freely given them eternall life : delivered in a sermon, before the Right Honorable the House of Peers, in the Abbey Church at Westminster, on May 26. 1647, being the day of their publick fast /",THOMAS VALENTINE,"Valentine, Thomas, 1585 or 1586-1665?","Thomas, Valentine, 1585 or 1586-1655?",16470101,16471231,1647,London: M.S. 1647,John Rothwell,London,England,"[2], 30 p. ; 18 cm.",STRONG ROOM MOCATTA 1647 V1 (1),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130520-001,uni-ucl-jud-0130520-001,"Electa thargumico-rabbinica; sive, Annotationes in Genesin : Ex triplici Thargum, seu Chaldaîcâ paraphrasi, nempe Onkeli, Hierosolymitanâ, & Jonathánis; item ex R. Salomone, & Aben Ezrâ, aliísque Hebræis pariter ac Hebraïzantibus excerptæ, unà cum Animadversionibus subinde interspersis. Quin & LXX interpretum versio, necnon (quoad fieri potuit) Aquilae, Symmachi, & Theodotionis, item Vulgata-Latina passim expenditur, ejusque vel cum Hebraeo textu convenientia, vel ab eo discrepantia ostenditur. /",Christophoro Cartwrighto,"Cartwright, Christopher, 1602-1658.","Christopher, Cartwright, 1602-1658.",16480101,16481231,M.DC.XLVIII. [1648].,"London: Gulielmus Du-Gard, M.DC.XLVIII [1648].",Samuel Thomson,London,England,"[60], 465, [19] p. ; 18 cm.",STRONG ROOM MOCATTA 1648 C1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130521-001,uni-ucl-jud-0130521-001,"[Mafte\U+2019\ah leshon ha-kodesh] that is the key of the holy tongue. : VVherein is contained, first the Hebrue grammar (in a manner) word for word out of P. Martinius. Secondly, a tractate upon Psal. 1. 25. 68. according to the rules of the same gram. Thirdly, a short dictionary conteining the Hebrue words which are found in the Bible, with their proper significations. Englished for the benefit of those that (being ignorant in the Latine) are desirous to learn the holy tongue. By Iohn Udall. Carefully corrected, and many faults amended which were found both in the Latine and English copies: by a Iew rabine.",John Udall,"Martinez, Pierre, -1594.","Pierre, Martinez, -1594.",16480101,16481231,1648,"Amsterdam: Daniel Frere, 1648.",C.B.,Amsterdam,Netherlands,"192 p., 177-194 p., [1] leaf of plates; 15 cm.",STRONG ROOM MOCATTA 1648 M1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130522-001,uni-ucl-jud-0130522-001,Christiani Ravii Berlinatis Sesqi-decuria epistolarum adoptivarum ex varijs orbis partibus commissarum circa orientalium studiorum promovendorum curam.,CHRISTIANI RAVII,"Raue, Christian, 1613-1677.","Christian. Raue, 1613-1677.",16480101,16481231,1648,"London: W. Wilson, 1648.",T. Jackson.,London,England,"35, [1] p. : port. ; 15 cm.",STRONG ROOM MOCATTA 1648 R1/1,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130522-002,uni-ucl-jud-0130522-002,"[A discourse of the orientall tongues viz. Ebrew, Samaritan, Calde, Syriac, Arabic, and Ethiopic. Together with a generall grammer for the said tongues. /","Raue, Christian, 1613-1677.","Raue, Christian, 1613-1677.","Christian. Raue, 1613-1677.",16490101,16491231,1649.].,,,,,"[8], 243, [1] p., tables ; 15 cm.",STRONG ROOM MOCATTA 1648 R1/2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130527-001,uni-ucl-jud-0130527-001,"Miḳṿeh Yisrael, hoc est, Spes Israelis /",Menasseh Ben Israel,"Manasseh ben Israel, 1604-1657.","Manasseh ben Israel, 1604-1657.",16500101,16501231,Anno 1650.,Amstelodami: ANNO 1650.,,Amsterdam,Netherlands,"6 p.l., 111 pp. ; 15 cm.",STRONG ROOM MOCATTA 1650 M1 (2),University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130537-001,uni-ucl-jud-0130537-001,"A brief compendium of the vain hopes of the Jews messias. The ignorant fables of their Rabbies, and the confuting of the Jewish religion, : Written by Eleazar Bargishai a born Jew, for the upholding of Christianity.",Elbazar Bargishai,Eliazar Bar-Isajah.,"Bar-Isajah, Eliazar",16520101,16521231,Printed in the Year 1652.,London: 1652.,,London,England,"[2], 21, [1] p. ; 19 cm.",STRONG ROOM MOCATTA 1652 E5,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130540-001,uni-ucl-jud-0130540-001,"A description and explanation of 268. places in Jerusalem and in the suburbs thereof, as it flourished in the time of Jesus Christ. : Answerable to each of the 268. figures that are in its large, and most exact description in the map; shewing the several places of the acts and sufferings of Jesus Christ, and his holy Apostles. As also of the Kings, prophets, &c. Very useful for the more clear and fuller opening of very many places in the prophets (as also in Josephus, and other histories) especially in the Gospels, and the Acts of the Apostles. Translated by T.T. Reviewed, and in many places rectified according to the Holy Scriptures, and some things further cleared: with additions of many scripture proofs: by H. Jessey. Imprimatur Joseph Caryl.",H. Felley,"Adrichem, Christiaan van, 1533-1585.","Christiaan van Adrichem, 1533-1585.",16530101,16531231,1653,"London: Tho. Brewster, 1653.",R.I. and P.S.,London,England,"[2], 91, [5] p., [1] leaf of plates : ill., front., (engraving) ; 19 cm.",STRONG ROOM MOCATTA 1653 A2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130541-001,uni-ucl-jud-0130541-001,"The grand conspiracy of the members against the mind, of Jews against their King : as it hath been delivered in the four following sermons / by John Allington [A sequestred divine].",John Allington,"Allington, John.",John Allington,16530101,16531231,1653,"London: R. Royston, 1653.",F.G.,London,England,220 p [Final leaf misnumbered: 119-120] ; 16 cm.,STRONG ROOM MOCATTA 1653 A5,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130542-001,uni-ucl-jud-0130542-001,"The Counterfeit Ievv. : It would fill to much paper to describe all the lyes, forgeries, hypocrisies, slights of this miserable wretch, who writ himselfe Josephus Ben Israel, Hebr. Mantu. ...",Anonymous,Anonymous,Anonymous,16530101,16531231,1653.].,1653,,,,8 p. ; 19 cm.,STRONG ROOM MOCATTA 1653 C6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130544-001,uni-ucl-jud-0130544-001,"Conjectura cabbalistica. Or, A conjectural essay of interpreting the minde of Moses, according to a threefold cabbala: viz. literal, philosophical, mystical, or, divinely moral. By Henry More fellow of Christs College in Cambridge.",Henry More,"More, Henry, 1614-1687.","Henry More, 1614-1687.",16530101,16531231,1653,"London: William Morden, 1653.",James Flesher,London,England,"[20], 251, [17] p. ; 18 cm.",STRONG ROOM MOCATTA 1653 M6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130551-001,uni-ucl-jud-0130551-001,"The case of the Jevves stated: or The Jewes synagogue opened. : With their preparations in the morning before they go thither, and their doings at night when they come home: their practises in their synagogues and some select actings of theirs in England, upon record.",Anonymous,Anonymous,Anonymous,16560101,16561231,1656,"London: Robert Ibbitson, 1656.",Robert Ibbitson,London,England,"[2], 6 p. ; 19 cm.",STRONG ROOM MOCATTA 1656 C1/1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130551-002,uni-ucl-jud-0130551-002,"The case of the Jews is altered, and their synagogue shut to all evil-walkers, or, A vindication of the Jewes : from the false imputations laid upon them in a scurrilous pamphlet intituled, The case of the Jews stated, or, The Jews synagogue opened. / by Joseph Copley, Gent.",Joseph Copley,"Copley, Joseph.",Joseph Copley,16560101,16561231,1656,"London: printed for the author, 1656.",printed for the author,London,England,"[2], 6 p. ; 19 cm.",STRONG ROOM MOCATTA 1656 C1/2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130557-001,uni-ucl-jud-0130557-001,"Vindiciæ Judæorum, or A letter in answer to certain questions propounded by a noble and learned gentleman, touching the reproaches cast on the nation of the Jevves; : wherein all objections are candidly, and yet fully cleared. By Rabbi Menasseh Ben Israel a divine and a physician.",Rabbi Menasseh Ben Israel a Divine and a Physicyan,"Manasseh ben Israel, 1604-1657.","Manasseh ben Israel, 1604-1657.",16560101,16561231,in the year 1656.,"London: R. D., 1656.",R. D.,London,England,"[2], 41, [1] p. ; 20 cm.",STRONG ROOM MOCATTA 1656 M1 (1),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130564-001,uni-ucl-jud-0130564-001,"A view of the Jewish religion : containing the manner of life, rites, ceremonies and customes of the Iewish nation throughout the world at this present time; together with the articles of their faith, as now received. Faithfully collected by A.R.",A. R.,"Ross, Alexander, 1591-1654.","Alexander Ross, 1591-1654.",16560101,16561231,1656,"London: E. Brewster and S. Miller, 1656.",T. M.,London,England,"[14], 158, 193-272, 277-323, [1], 353-427, [1] p. ; 18 cm.",STRONG ROOM MOCATTA 1656 R6,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130569-001,uni-ucl-jud-0130569-001,"[The wits, or, Sport upon sport. In select pieces of drollery, digested into scenes by way of dialogue. : Together with variety of humors of several nations, fitted for the pleasure and content of all persons, either in court, city, countrey, or camp. The like never before published. Part I.].",Anonymous,Anonymous,Anonymous,16620101,16621231,1662.].,,,,,"[8], 186, [10] p. ; 18 cm.",STRONG ROOM MOCATTA 1662 W4,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130580-001,uni-ucl-jud-0130580-001,"The history of the three late famous impostors, : viz. Padre Ottomano, Mahomed Bei, and Sabatai Sevi. The one, pretended son and heir to the late Grand Signior; the other, a prince of the Ottoman family, but in truth, a Valachian counterfeit. And the last, the suppos'd Messiah of the Jews, in the year of the true Messiah, 1666. With a brief account of the ground, and occasion of the present war between the Turk and the Venetian. Together with the cause of the final extirpation, destruction, and exile of the Jews out of the Empire of Persia.",J.E.,"Evelyn, John, 1620-1706.","John Evelyn, 1620-1706.",16690101,16691231,1669,"Savoy: Henry Herringman, 1669.",Henry Herringman,London,England,"[16], 126 p. ; 17 cm.",STRONG ROOM MOCATTA 1669 E8,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130582-001,uni-ucl-jud-0130582-001,"The Jewish calendar explained; or, Observations on the ancient Hebrew account, of the year, months, and festivals used by the patriarchs, and mentioned in Holy Scripture. : Wherein is shown the order, names, and significations of their moneths. The reasons for first instituting their several feasts, as Passover, Tabernacles, &c. with the exact days whereon they were celebrated; and what they were to shadow forth under the Gospel. Published for assisting weak capacities better to understand what they read in Holy Writ, more than two hundred difficult places of which, are here explained. By Hen. Care.",Hen. Care.,"Care, Henry, 1646-1688.","Henry Care, 1646-1688.",16730101,16731231,1673,"London: T. Passenger, 1673.",T. Passenger,London,England,"[4], 43, [1] p. ; 15 cm.",STRONG ROOM MOCATTA 1673 C1,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130583-001,uni-ucl-jud-0130583-001,Histoire de devx Tvrcs et d'vn Juif : avec vn discovrs de l'entier banissement des Juifs du Royaume de Perse /,Anonymous,Anonymous,Anonymous,16730101,16731231,1673,"Paris: Antoine Robinot, M. DC. LXXIII. [1673]",Antoine Robinot,Paris,France,"[10], 226 p. ; 14 cm.",STRONG ROOM MOCATTA 1673 H4,University College London,"Special Collections, UCL Library",French,
uni-ucl-jud-0130586-001,uni-ucl-jud-0130586-001,"The testament of the Twelve Patriarchs the sons of Jacob / : Translated out of Greek into Latine, by Rob. Grosthead sometime Bishop of Lincoln: and out of his copy into French and Dutch by others, and now Englished. To the credit whereof, an ancient Greek copy written in parchment is kept in the universsity [sic] library of Cambridge.",Anonymous,Anonymous,Anonymous,16770101,16771231,1677,"London: the Company of Stationers, 1677.",Andrew Clark,London,England,"[160] p. ; : ill., woodcuts ; 15 cm.",STRONG ROOM MOCATTA 1677 T2,University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130587-001,uni-ucl-jud-0130587-001,"Lyra prophetica Davidis Regis; sive Analysis critico-practica Psalmorum. : In qua omnes & singulæ voces Hebrææ in Psalterio contentæ, tam propriæ quàm appellativæ, (nullâ exceptâ) ad regulas artis revocantur; earúmque significationes genuinæ explicantur; elegantiæ linguæ propriæ evolvuntur. Insuper harmonia Hebræi textûs cum paraphrasi Chaldæa, & versione Græca LXXII interpretum, in locis, sententiis discrepantibus, fideliter confertur. Cui ad calcem addita est brevis institutio linguæ Hebrææ & Chaldææ. Studio & vigiliis Victorini Bythneri, poloni, linguæ Hebrææ professoris. Opus novum, nec antè in tali forma tentatum: in quo quid præstitum, præfatio ad lectorem indicabit.",Victorini Bythneri,"Bythner, Victorinus, 1605?-1670?","Victorinus Bythner, 1605?-1670?",16790101,16791231,MDCLXXIX [1679].,"Londini: Gul. Morden, MDCLXXIX. [1679]",Eliz. Flesher,London,England,"[8], 352, [2], 69, [1]; [8], 46, [2] p. ; 23 cm.",STRONG ROOM MOCATTA 1679 B9,University College London,"Special Collections, UCL Library",Latin,
uni-ucl-jud-0130591-001,uni-ucl-jud-0130591-001,"The conversion & persecutions of Eve Cohan, now called Elizabeth Verboon, : a person of quality of the Jewish religion. Who was baptized the 10th of October, 1680. at St. Martins in the Fields, by the Right Reverend Father in God, William, Lord Bishop of St. Asaph.",Gilbert Burnet Bishop of Salisbury,"Burnet, Gilbert, 1643-1715.","Gilbert Burnet, 1643-1715.",16800101,16801231,1680,"London: Richard Chiswell, 1680.",J.D.,London,England,"[8], 27, [1] p. ; 20 cm.",STRONG ROOM MOCATTA 1680 B8 (2),University College London,"Special Collections, UCL Library",English,
uni-ucl-jud-0130594-001,uni-ucl-jud-0130594-001,"The present state of the Jevvs : wherein is contained an exact account of their customs, secular and religious. To which is annexed a summary discourse of the Misna, Talmud, & Gemara. By L. Addison, D.D. one of his Majesties Chaplains in Ordinary; and author of the primitive institution. Second edition","L. Addison, D.D.","Addison, Lancelot, 1632-1703.","Lancelot Addison,1632-1703.",16760101,16761231,1676,"London: William Crooke, 1676.",J.C.,London,England,"[12], 247, [5] p. : 1 plate [frontis.] ; 16 cm.",STRONG ROOM MOCATTA 1676 A2 (2),University College London,"Special Collections, UCL Library",English,
